매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
메가MGC커피 지식정보단지역점,인천 연수구 인천타워대로54번길 9 1층 102호,47,6,33900,77000,210000,8878,33,8128,12,750,1,0,2
메가MGC커피 인천작전중앙점,인천 계양구 주부토로 422 1층 101호,,6,1900,11000,180000,34885,38.4,0,6,450,3,0,7
메가MGC커피 인천남촌점,인천 남동구 남촌동로 26 1층,,6,2000,2000,150000,10017,38.8,0,11,1100,1,0,6
메가MGC커피 부평해물탕거리점,인천 부평구 장제로 99 1층 105호,,6,1700,5600,600000,42150,43,0,16,400,1,0,23
메가MGC커피 검단모아미래도점,인천 서구 서로3로 50 1층,,6,1500,120000,270000,25455,27.3,0,11,570,1,0,2
메가MGC커피 영종구읍뱃터점,인천 중구 은하수로 10 더테라스프라자 1층 105~106호,,6,3200,38000,300000,35,28.3,0,11,1380,0,1,2
메가MGC커피 검단먹거리타운점,인천 서구 봉수대로1440번안길 28-11 1층,,6,2000,2000,500000,17221,38.6,15003,14,470,1,0,15
메가MGC커피 계양효성해링턴점,인천 계양구 서운로 34 1층 105호,,6,2300,14000,77000,18470,34.5,0,5,500,3,0,2
메가MGC커피 부평보건소점,인천 부평구 부흥로 301-1 1층,,6,2500,3200,1020000,41399,46.9,23442,23,330,1,0,36
메가MGC커피 계양힐스자이점,인천 계양구 봉오대로651번길 9 상가201동 101호,,6,2200,43000,170000,20192,37.3,24928,11,400,0,0,13
메가MGC커피 주안파크자이점,인천 미추홀구 인하로221번길 6 1층 101호,,6,4200,8800,260000,28776,47.2,0,7,400,0,0,7
메가MGC커피 검단법조타운점,"인천 서구 서로3로 104 신화디벨로퍼 103,104호",,6,2000,30000,220000,18511,25.8,0,14,700,0,0,1
메가MGC커피 석바위시장점,"인천 미추홀구 경원대로 855 1,2층",,6,3600,3600,660000,28655,48.7,7867,21,650,1,0,33
메가MGC커피 간석역점,인천 남동구 석산로 15 1층,,6,3300,8300,330000,31752,46.2,10927,9,280,1,0,16
메가MGC커피 인천약산초교점,인천 남동구 백범로 376 도시타워 1층 101호,,6,2100,9400,510000,30467,44.7,19156,29,300,2,0,30
메가MGC커피 간석북부역점,인천 남동구 방축로 503 우성아파트 상가 1층 106~107호,,6,1600,11000,290000,32935,44,10927,8,280,3,0,14
