매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
파리바게뜨 서구신현점,인천 서구 가정로 374,,2,3700,5400,100000,35989,36.1,11110,11,520,0,0,21
파리바게뜨 인천귤현점,"인천 계양구 양지로 151 1층 104,105호",,2,2100,3300,9500,8963,31.7,2078,3,1180,1,0,9
파리바게뜨 서창로데오점,인천 남동구 서창남순환로 223,,2,4500,110000,360000,18433,35.7,0,11,390,1,0,15
파리바게뜨 효성풍차점,인천 계양구 효서로 137 1층,,2,1700,3500,6500,25711,,0,6,500,3,0,9
파리바게뜨 호구포역점,인천 남동구 호구포로 220 명진프라자 1층 102호,,2,2700,9000,28000,12915,35.8,7459,2,660,1,0,8
파리바게뜨 인천공항에어사이드점,인천 중구 공항로 272 제1여객터미널 3층 면세지역 30번 게이트 부근,,2,26000,4900000,4900000,14448,63.7,35765,9,360,0,0,0
파리바게뜨 신기진흥점,인천 미추홀구 인하로 296 정신상가 1층 105호,,2,3800,12000,72000,28578,42.8,0,11,380,2,0,18
파리바게뜨 서창1단지점,"인천 남동구 서창남순환로 124-12 서창LH 1단지 단지상가 104호, 105호",,2,3700,20000,42000,15081,35.5,0,0,690,1,0,1
파리바게뜨 인천장기점,인천 계양구 장기로 33 1층 102호,,2,2400,2400,5100,7380,33.7,0,5,850,2,0,10
파리바게뜨 청라SK점,인천 서구 솔빛로 93 청라SK뷰 근린생활시설동 1층 117호,,2,3200,35000,4500,15139,29.2,0,3,890,3,0,4
파리바게뜨 인천한림점,인천 계양구 장제로 721,,2,3400,3400,100000,31744,35.6,0,5,390,8,0,35
파리바게뜨 효성태산점,인천 계양구 효서로 53 1층,,2,2600,2900,10000,15237,32.4,0,4,920,2,0,7
파리바게뜨 용현SK점,"인천 미추홀구 용정공원로 33 A1동 111,112호",,2,2900,88000,160000,28242,42.9,13298,4,890,1,0,3
파리바게뜨 임학점,인천 계양구 장제로 903,,2,2600,3500,40000,27579,41.6,14302,10,790,3,0,13
파리바게뜨 당하힐스테이트점,인천 서구 청마로 92 검단힐스테이트4차 상가 208호,,2,4100,20000,96000,17661,34.5,7664,4,360,3,0,6
파리바게뜨 신백운역점,인천 부평구 경원대로 1252-1,,2,3200,5900,240000,24459,40,14210,4,280,4,0,16
파리바게뜨 연안부두점,인천 중구 축항대로86번길 38,,2,1800,9900,860000,4706,54.8,0,2,4460,1,1,6
파리바게뜨 인천남촌점,인천 남동구 호구포로535번길 48-2 1층,,2,3000,3000,11000,10183,38.4,0,7,1320,1,0,9
파리바게뜨 아인병원점,인천 미추홀구 경인로 372 201동 지하2층 B2009~B2011호,,2,10000,290000,310000,30608,47.3,17504,8,560,0,0,47
파리바게뜨 인천공항탑승동점,인천 중구 공항로 272 탑승동 3층 118번 게이트 부근,,2,24000,4900000,4900000,14448,63.7,35765,9,860,0,0,0
파리바게뜨 인하대병원점,인천 중구 인항로 27 1층,,2,7400,36000,140000,13915,40.8,7670,0,470,1,0,8
파리바게뜨 계양역점,인천 계양구 다남로 24 계양역사 1층,,2,5500,31000,34000,405,31.7,7131,2,790,1,0,1
파리바게뜨 삼산미래타운,인천 부평구 부평북로 446 우리빌딩 104호,,2,4600,11000,59000,25460,30.9,0,5,680,5,0,12
파리바게뜨 간석어울림점,인천 남동구 석산로 135 금호센터프라자 103호,,2,3900,10000,180000,24689,44,8258,11,200,2,0,32
파리바게뜨 검암역점,인천 서구 검바위로 26 인천지하철 2호선 검암역,,2,4400,36000,68000,6164,35.9,7273,0,200,0,0,21
파리바게뜨 송도더스카이점,인천 연수구 인천타워대로 365 힐스테이트송도더스카이 B동 1층 109~110호,,2,4600,56000,100000,2724,18.6,3087,2,960,0,0,5
파리바게뜨 인천공항랜드사이드점,인천 중구 공항로 272 제1여객터미널 3층 일반지역 G 체크인카운터 부근,,2,24000,4900000,4900000,14448,63.7,35765,9,160,0,0,0
파리바게뜨 부평현대점,인천 부평구 경원대로 1277 2001아울렛 지하1층,,2,2200,230000,240000,21220,39.9,0,4,230,1,0,13
파리바게뜨 박촌점,인천 계양구 장제로 999 1층,,2,2200,2800,8700,12008,38.2,6861,4,930,3,0,3
파리바게뜨 청라국제도시역점,인천 서구 청라동 7-2 청라국제도시역 1층,,2,4100,23000,250000,18822,32.2,14554,7,1460,0,0,4
파리바게뜨 국제성모병원점,인천 서구 심곡로100번길 25 1층,,2,8800,30000,33000,7359,45.6,0,2,630,1,0,8
파리바게뜨 학익SK점,인천 미추홀구 매소홀로 419,,2,4000,9500,13000,13054,36.1,0,2,10,3,0,56
파리바게뜨 백령점,인천 옹진군 백령면 백령로 236,,2,2300,9700,18000,898,63,0,0,153840,0,0,0
파리바게뜨 인천국제공항제1여객터미널,인천 중구 공항로 272 제1여객터미널 3층 면세지역,,2,23000,4900000,4900000,14448,63.7,35765,9,160,0,0,0
