매장명,매장주소,건물id,프랜차이즈id,매장매출,상가매출,상권매출,거주인구,1인가구,주변 전철역 이용인구수,같은 상권내 동종업계 개수,동일프랜차이즈와의 최단거리,주변 학교 개수,주변 관광지유무,주변 빌딩 개수
컴포즈커피 인천논현에코점,인천 남동구 에코중앙로156번길 1 1층 104호,,4,1300,3400,140000,16045,28.9,0,6,680,2,0,1
컴포즈커피 인천학익법원점,인천 미추홀구 소성로 159 103호,,4,800,9300,400000,17349,35.9,0,14,400,0,0,64
컴포즈커피 인천국세청점,인천 남동구 미래로 6 마커스오피스텔 상가 1층,,4,1400,18000,1320000,25818,44,0,35,170,1,0,110
컴포즈커피 인천청라휴먼시아점,인천 서구 청라커낼로 232 청라엘에이치 상가동 106호,,4,800,25000,160000,18452,28.8,0,8,400,2,0,3
컴포즈커피 인천검바위점,인천 서구 서곶로 489 메종드라르떼 101동 105호,,4,600,7400,19000,15044,40.3,5726,2,500,3,0,11
컴포즈커피 부평역사점,인천 부평구 광장로 16 지하1층 17호,,4,1700,560000,1790000,27650,46.1,13714,46,200,1,0,92
컴포즈커피 인천학산사거리점,인천 미추홀구 매소홀로 355 1층,,4,2800,95000,400000,21574,33.4,0,8,400,3,0,15
컴포즈커피 인천거북시장점,인천 서구 가정로 196 1층,,4,1300,1300,370000,21336,45.9,0,11,420,1,0,15
컴포즈커피 인천만수중앙점,인천 남동구 백범로 216 1층 가호,,4,800,12000,230000,39335,37.9,0,5,500,3,0,29
컴포즈커피 인천부평동아2단지점,인천 부평구 부흥로 251 경기빌딩 1층,,4,1900,12000,600000,38426,42.3,23442,18,330,3,0,30
컴포즈커피 인천논현점,인천 남동구 청능대로 581 1층 101호,,4,2300,12000,1210000,21396,36.7,10978,29,270,1,0,27
컴포즈커피 인천오류왕길점,인천 서구 단봉로139번길 3-5 1층 107호,,4,800,8300,120000,9536,32.3,0,6,1700,2,0,3
